"Timestamp","Are you an EUI student?","How old are you?","What is your faculty?","Does it matter to you (academically) if you like/dislike your instructor?","What is your GPA?"
"2023/03/08 8:41:57 PM GMT+2","Yes","19","Computer and information sciences","2","3.8"
"2023/03/08 8:41:59 PM GMT+2","Yes","19","Engineering","0 (doesn't matter at all)","3"
"2023/03/08 8:43:27 PM GMT+2","Yes","18","Business Informatics","3","3.3"
"2023/03/08 8:45:25 PM GMT+2","Yes","18","Business Informatics","3","3.4"
"2023/03/08 8:47:17 PM GMT+2","Yes","18","Computer and information sciences","5 (strongly matters)","3.7"
"2023/03/08 8:48:38 PM GMT+2","Yes","18","Business Informatics","3","3.5"
"2023/03/08 8:49:13 PM GMT+2","Yes","19","Computer and information sciences","4","2.75"
"2023/03/08 8:49:49 PM GMT+2","Yes","18","Computer and information sciences","3","3.5"
"2023/03/08 8:50:18 PM GMT+2","Yes","19","Digital arts and design","1","3"
"2023/03/08 8:51:51 PM GMT+2","Yes","20","Computer and information sciences","4","3"
"2023/03/08 8:57:07 PM GMT+2","Yes","19","Digital arts and design","4","3.3"
"2023/03/08 8:59:30 PM GMT+2","Yes","19","Computer and information sciences","4","3.2"
"2023/03/08 8:59:43 PM GMT+2","Yes","19","Business Informatics","0 (doesn't matter at all)","3.3"
"2023/03/08 9:02:12 PM GMT+2","Yes","19","Business Informatics","3","2.5"
"2023/03/08 9:03:42 PM GMT+2","Yes","19","Digital arts and design","2","3.2"
"2023/03/08 9:06:29 PM GMT+2","Yes","19","Digital arts and design","5 (strongly matters)","3.7"
"2023/03/08 9:08:08 PM GMT+2","Yes","18","Computer and information sciences","2","3.6"
"2023/03/08 9:08:19 PM GMT+2","Yes","20","Computer and information sciences","3","2.8"
"2023/03/08 9:10:22 PM GMT+2","Yes","22","Computer and information sciences","3","3"
"2023/03/08 9:12:42 PM GMT+2","Yes","20","Computer and information sciences","3","2.7"
"2023/03/08 9:13:30 PM GMT+2","Yes","21","Engineering","4","3"
"2023/03/08 9:16:22 PM GMT+2","Yes","69","Computer and information sciences","0 (doesn't matter at all)","4.0"
"2023/03/08 9:16:49 PM GMT+2","No","21","Engineering","5 (strongly matters)","3.0"
"2023/03/08 9:21:53 PM GMT+2","Yes","20","Computer and information sciences","5 (strongly matters)","2.4"
"2023/03/08 9:32:28 PM GMT+2","Yes","19","Computer and information sciences","3","3.5"
"2023/03/08 9:37:10 PM GMT+2","Yes","19","Digital arts and design","3","2.9"
"2023/03/08 9:45:41 PM GMT+2","No","19","Computer and information sciences","0 (doesn't matter at all)","3.87"
"2023/03/08 9:46:06 PM GMT+2","No","21","Digital arts and design","1","3"
"2023/03/08 9:52:53 PM GMT+2","Yes","19","Computer and information sciences","2","2.65"
"2023/03/08 9:56:36 PM GMT+2","Yes","20","Computer and information sciences","3","3.16"
"2023/03/08 10:01:32 PM GMT+2","No","19","Computer and information sciences","5 (strongly matters)","3.5"
"2023/03/08 10:26:29 PM GMT+2","Yes","20","Computer and information sciences","5 (strongly matters)","2.356"
"2023/03/08 10:50:53 PM GMT+2","Yes","20","Computer and information sciences","2","2.5"
"2023/03/08 10:52:09 PM GMT+2","Yes","19","Engineering","3","2.9"
"2023/03/08 10:59:19 PM GMT+2","Yes","20","Computer and information sciences","5 (strongly matters)","2.0"
"2023/03/08 10:59:24 PM GMT+2","Yes","20","Computer and information sciences","3","2.96"
"2023/03/08 11:00:14 PM GMT+2","Yes","19","Business Informatics","5 (strongly matters)","3.9"
"2023/03/08 11:14:53 PM GMT+2","Yes","18","Business Informatics","5 (strongly matters)","3.2"
"2023/03/08 11:17:00 PM GMT+2","Yes","19","Computer and information sciences","5 (strongly matters)","1.6"
"2023/03/08 11:25:56 PM GMT+2","Yes","20","Engineering","5 (strongly matters)","3.65"
"2023/03/08 11:27:38 PM GMT+2","Yes","20","Computer and information sciences","3","2.5"
"2023/03/09 12:07:50 AM GMT+2","No","23","Engineering","5 (strongly matters)","3.87"
"2023/03/09 12:08:10 AM GMT+2","Yes","22","Engineering","5 (strongly matters)","3.8"
"2023/03/09 12:11:19 AM GMT+2","Yes","25","Business Informatics","5 (strongly matters)","3"
"2023/03/09 12:14:58 AM GMT+2","Yes","19","Digital arts and design","4","3.4"
"2023/03/09 12:27:12 AM GMT+2","Yes","20","Business Informatics","0 (doesn't matter at all)","2.0"
"2023/03/09 12:58:30 AM GMT+2","Yes","19","Digital arts and design","5 (strongly matters)","3.1"
"2023/03/09 1:02:34 AM GMT+2","No","20","Business Informatics","3","2.2"
"2023/03/09 1:05:47 AM GMT+2","Yes","20","Business Informatics","3","2.1"
"2023/03/09 1:17:49 AM GMT+2","Yes","19","Computer and information sciences","3","3.5"
"2023/03/09 1:18:21 AM GMT+2","Yes","19","Computer and information sciences","3","3.5"
"2023/03/09 1:18:39 AM GMT+2","Yes","19","Computer and information sciences","3","3.5"
"2023/03/09 1:20:10 AM GMT+2","Yes","18","Engineering","2","2.45"
"2023/03/09 1:22:02 AM GMT+2","Yes","20","Digital arts and design","3","3.0"
